a,b,c,d
167,val_167,250.5,2024-01-01
168,N/A,abc,31/02/2024
169,val_169,253.5,2024-01-01
,val_170,255.0,2024-01-01
171,val_171,256.5,2024-01-01
172,N/A,258.0,2024-01-01
173,val_173,259.5,2024-01-01
174,val_174,abc,2024-01-01
,val_175,262.5,2024-01-01
176,N/A,264.0,31/02/2024
177,val_177,265.5,2024-01-01
178,val_178,267.0,2024-01-01
179,val_179,268.5,2024-01-01
,N/A,abc,2024-01-01
181,val_181,271.5,2024-01-01
182,val_182,273.0,2024-01-01
183,val_183,274.5,2024-01-01
184,N/A,276.0,31/02/2024
,val_185,277.5,2024-01-01
186,val_186,abc,2024-01-01
187,val_187,280.5,2024-01-01
188,N/A,282.0,2024-01-01
189,val_189,283.5,2024-01-01
,val_190,285.0,2024-01-01
191,val_191,286.5,2024-01-01
192,N/A,abc,31/02/2024
193,val_193,289.5,2024-01-01
194,val_194,291.0,2024-01-01
,val_195,292.5,2024-01-01
196,N/A,294.0,2024-01-01
197,val_197,295.5,2024-01-01
198,val_198,abc,2024-01-01
199,val_199,298.5,2024-01-01
