id,name,category,amount,signup_date
78,  Customer 78  ,North,10,2024-01-15
79,Customer 79,EAST,10,2024-01-15
80,Customer 80,east,10,2024-01-15
81,Customer 81,east,20,2024-01-15
82,Customer 82,West,10,2024-01-15
83,Customer 83,east,20,2024-01-15
84,Customer 84,North,N/A,31/02/2024
85,Customer 85,South,20,2024-01-15
86,Customer 86,West,N/A,2024-01-15
87,Customer 87,unknown,20,2024-01-15
88,Customer 88,unknown,N/A,2024-01-15
89,Customer 89,EAST,N/A,2024-01-15
90,Customer 90,EAST,N/A,2024-01-15
91,  Customer 91  ,North,-999999,31/02/2024
92,Customer 92,east,10,2024-01-15
93,Customer 93,east,-999999,2024-01-15
94,Customer 94,South,-999999,2024-01-15
95,Customer 95,North,N/A,2024-01-15
96,Customer 96,unknown,N/A,2024-01-15
97,Customer 97,South,"1,000",2024-01-15
98,Customer 98,EAST,"1,000",31/02/2024
99,Customer 99,South,10,2024-01-15
100,Customer 100,EAST,10,2024-01-15
101,Customer 101,North,20,2024-01-15
102,Customer 102,EAST,20,2024-01-15
103,Customer 103,unknown,"1,000",2024-01-15
104,  Customer 104  ,West,-999999,2024-01-15
105,Customer 105,unknown,20,31/02/2024
106,Customer 106,EAST,"1,000",2024-01-15
107,Customer 107,West,20,2024-01-15
108,Customer 108,EAST,10,2024-01-15
109,Customer 109,east,"1,000",2024-01-15
110,Customer 110,North,-999999,2024-01-15
111,Customer 111,South,N/A,2024-01-15
112,Customer 112,North,20,31/02/2024
113,Customer 113,North,N/A,2024-01-15
114,Customer 114,east,10,2024-01-15
115,Customer 115,unknown,N/A,2024-01-15
116,Customer 116,EAST,20,2024-01-15
117,  Customer 117  ,east,"1,000",2024-01-15
118,Customer 118,North,20,2024-01-15
119,Customer 119,North,"1,000",31/02/2024
120,Customer 120,South,"1,000",2024-01-15
121,Customer 121,EAST,"1,000",2024-01-15
122,Customer 122,unknown,20,2024-01-15
123,Customer 123,West,"1,000",2024-01-15
124,Customer 124,EAST,10,2024-01-15
125,Customer 125,east,20,2024-01-15
126,Customer 126,South,10,31/02/2024
127,Customer 127,unknown,"1,000",2024-01-15
128,Customer 128,West,-999999,2024-01-15
129,Customer 129,EAST,20,2024-01-15
130,  Customer 130  ,unknown,10,2024-01-15
131,Customer 131,east,-999999,2024-01-15
132,Customer 132,EAST,"1,000",2024-01-15
133,Customer 133,east,10,31/02/2024
134,Customer 134,EAST,"1,000",2024-01-15
135,Customer 135,North,N/A,2024-01-15
136,Customer 136,South,20,2024-01-15
137,Customer 137,West,N/A,2024-01-15
138,Customer 138,east,20,2024-01-15
139,Customer 139,South,-999999,2024-01-15
140,Customer 140,unknown,N/A,31/02/2024
141,Customer 141,EAST,10,2024-01-15
142,Customer 142,east,"1,000",2024-01-15
143,  Customer 143  ,EAST,"1,000",2024-01-15
144,Customer 144,South,"1,000",2024-01-15
145,Customer 145,unknown,10,2024-01-15
146,Customer 146,North,10,2024-01-15
147,Customer 147,South,20,31/02/2024
148,Customer 148,West,20,2024-01-15
149,Customer 149,east,20,2024-01-15
150,Customer 150,West,N/A,2024-01-15
151,Customer 151,east,"1,000",2024-01-15
152,Customer 152,east,N/A,2024-01-15
153,Customer 153,North,N/A,2024-01-15
154,Customer 154,South,N/A,31/02/2024
155,Customer 155,unknown,"1,000",2024-01-15
156,  Customer 156  ,South,-999999,2024-01-15
157,Customer 157,West,"1,000",2024-01-15
158,Customer 158,east,10,2024-01-15
159,Customer 159,EAST,10,2024-01-15
160,Customer 160,EAST,10,2024-01-15
161,Customer 161,South,20,31/02/2024
162,Customer 162,North,N/A,2024-01-15
163,Customer 163,West,"1,000",2024-01-15
164,Customer 164,North,-999999,2024-01-15
165,Customer 165,West,"1,000",2024-01-15
166,Customer 166,West,20,2024-01-15
167,Customer 167,east,10,2024-01-15
168,Customer 168,east,N/A,31/02/2024
169,  Customer 169  ,West,"1,000",2024-01-15
170,Customer 170,EAST,10,2024-01-15
171,Customer 171,North,N/A,2024-01-15
172,Customer 172,east,10,2024-01-15
173,Customer 173,West,10,2024-01-15
174,Customer 174,North,10,2024-01-15
175,Customer 175,North,-999999,31/02/2024
176,Customer 176,South,10,2024-01-15
177,Customer 177,West,20,2024-01-15
178,Customer 178,South,-999999,2024-01-15
179,Customer 179,EAST,10,2024-01-15
180,Customer 180,unknown,20,2024-01-15
181,Customer 181,South,20,2024-01-15
182,  Customer 182  ,EAST,10,31/02/2024
183,Customer 183,West,-999999,2024-01-15
184,Customer 184,West,N/A,2024-01-15
185,Customer 185,unknown,N/A,2024-01-15
186,Customer 186,east,-999999,2024-01-15
187,Customer 187,South,10,2024-01-15
188,Customer 188,North,N/A,2024-01-15
189,Customer 189,North,10,31/02/2024
190,Customer 190,unknown,N/A,2024-01-15
191,Customer 191,east,"1,000",2024-01-15
192,Customer 192,EAST,-999999,2024-01-15
193,Customer 193,EAST,N/A,2024-01-15
194,Customer 194,North,10,2024-01-15
195,  Customer 195  ,West,N/A,2024-01-15
196,Customer 196,North,-999999,31/02/2024
197,Customer 197,South,N/A,2024-01-15
198,Customer 198,West,"1,000",2024-01-15
199,Customer 199,unknown,-999999,2024-01-15
200,Customer 200,east,N/A,2024-01-15
201,Customer 201,West,20,2024-01-15
202,Customer 202,east,20,2024-01-15
203,Customer 203,South,20,31/02/2024
204,Customer 204,North,N/A,2024-01-15
205,Customer 205,North,N/A,2024-01-15
206,Customer 206,North,-999999,2024-01-15
207,Customer 207,unknown,"1,000",2024-01-15
208,  Customer 208  ,South,N/A,2024-01-15
209,Customer 209,east,-999999,2024-01-15
210,Customer 210,east,10,31/02/2024
211,Customer 211,east,20,2024-01-15
212,Customer 212,east,"1,000",2024-01-15
213,Customer 213,east,20,2024-01-15
214,Customer 214,West,10,2024-01-15
215,Customer 215,West,"1,000",2024-01-15
216,Customer 216,North,"1,000",2024-01-15
217,Customer 217,South,20,31/02/2024
218,Customer 218,South,10,2024-01-15
219,Customer 219,North,-999999,2024-01-15
220,Customer 220,West,N/A,2024-01-15
221,  Customer 221  ,unknown,10,2024-01-15
222,Customer 222,North,10,2024-01-15
223,Customer 223,east,10,2024-01-15
224,Customer 224,EAST,N/A,31/02/2024
225,Customer 225,South,-999999,2024-01-15
226,Customer 226,West,10,2024-01-15
227,Customer 227,North,N/A,2024-01-15
228,Customer 228,unknown,"1,000",2024-01-15
229,Customer 229,South,20,2024-01-15
230,Customer 230,South,20,2024-01-15
231,Customer 231,east,N/A,31/02/2024
232,Customer 232,unknown,10,2024-01-15
233,Customer 233,West,"1,000",2024-01-15
234,  Customer 234  ,South,N/A,2024-01-15
235,Customer 235,South,20,2024-01-15
236,Customer 236,unknown,"1,000",2024-01-15
237,Customer 237,east,10,2024-01-15
238,Customer 238,unknown,"1,000",31/02/2024
239,Customer 239,unknown,"1,000",2024-01-15
240,Customer 240,South,20,2024-01-15
241,Customer 241,EAST,N/A,2024-01-15
242,Customer 242,South,"1,000",2024-01-15
243,Customer 243,unknown,10,2024-01-15
244,Customer 244,east,20,2024-01-15
245,Customer 245,unknown,10,31/02/2024
246,Customer 246,EAST,-999999,2024-01-15
247,  Customer 247  ,east,"1,000",2024-01-15
248,Customer 248,EAST,"1,000",2024-01-15
249,Customer 249,EAST,"1,000",2024-01-15
250,Customer 250,EAST,10,2024-01-15
251,Customer 251,South,N/A,2024-01-15
252,Customer 252,EAST,N/A,31/02/2024
253,Customer 253,unknown,10,2024-01-15
254,Customer 254,West,-999999,2024-01-15
255,Customer 255,North,10,2024-01-15
256,Customer 256,West,N/A,2024-01-15
257,Customer 257,West,20,2024-01-15
258,Customer 258,South,20,2024-01-15
259,Customer 259,east,N/A,31/02/2024
260,  Customer 260  ,West,-999999,2024-01-15
261,Customer 261,South,-999999,2024-01-15
262,Customer 262,North,"1,000",2024-01-15
263,Customer 263,EAST,20,2024-01-15
264,Customer 264,South,10,2024-01-15
265,Customer 265,east,"1,000",2024-01-15
266,Customer 266,unknown,"1,000",31/02/2024
267,Customer 267,unknown,-999999,2024-01-15
268,Customer 268,South,20,2024-01-15
269,Customer 269,EAST,N/A,2024-01-15
270,Customer 270,South,-999999,2024-01-15
271,Customer 271,east,-999999,2024-01-15
272,Customer 272,West,"1,000",2024-01-15
273,  Customer 273  ,unknown,N/A,31/02/2024
274,Customer 274,North,20,2024-01-15
275,Customer 275,West,10,2024-01-15
276,Customer 276,South,N/A,2024-01-15
277,Customer 277,South,"1,000",2024-01-15
278,Customer 278,east,N/A,2024-01-15
279,Customer 279,West,N/A,2024-01-15
280,Customer 280,South,N/A,31/02/2024
281,Customer 281,West,-999999,2024-01-15
282,Customer 282,North,10,2024-01-15
283,Customer 283,West,"1,000",2024-01-15
284,Customer 284,EAST,"1,000",2024-01-15
285,Customer 285,South,20,2024-01-15
286,  Customer 286  ,EAST,N/A,2024-01-15
287,Customer 287,West,20,31/02/2024
288,Customer 288,EAST,10,2024-01-15
289,Customer 289,unknown,-999999,2024-01-15
290,Customer 290,EAST,N/A,2024-01-15
291,Customer 291,South,"1,000",2024-01-15
292,Customer 292,unknown,"1,000",2024-01-15
293,Customer 293,West,10,2024-01-15
294,Customer 294,east,10,31/02/2024
295,Customer 295,east,10,2024-01-15
296,Customer 296,South,10,2024-01-15
297,Customer 297,unknown,"1,000",2024-01-15
298,Customer 298,EAST,10,2024-01-15
299,  Customer 299  ,EAST,20,2024-01-15
300,Customer 300,EAST,-999999,2024-01-15
301,Customer 301,east,20,31/02/2024
302,Customer 302,South,-999999,2024-01-15
303,Customer 303,EAST,"1,000",2024-01-15
304,Customer 304,North,20,2024-01-15
305,Customer 305,West,-999999,2024-01-15
306,Customer 306,EAST,"1,000",2024-01-15
307,Customer 307,unknown,10,2024-01-15
308,Customer 308,east,N/A,31/02/2024
309,Customer 309,EAST,20,2024-01-15
310,Customer 310,North,"1,000",2024-01-15
311,Customer 311,West,20,2024-01-15
312,  Customer 312  ,West,-999999,2024-01-15
313,Customer 313,North,10,2024-01-15
314,Customer 314,South,"1,000",2024-01-15
315,Customer 315,South,N/A,31/02/2024
316,Customer 316,east,20,2024-01-15
317,Customer 317,West,20,2024-01-15
318,Customer 318,east,20,2024-01-15
319,Customer 319,West,N/A,2024-01-15
320,Customer 320,unknown,N/A,2024-01-15
321,Customer 321,South,-999999,2024-01-15
322,Customer 322,east,"1,000",31/02/2024
323,Customer 323,EAST,-999999,2024-01-15
324,Customer 324,South,10,2024-01-15
325,  Customer 325  ,EAST,"1,000",2024-01-15
326,Customer 326,east,20,2024-01-15
327,Customer 327,North,10,2024-01-15
328,Customer 328,West,10,2024-01-15
329,Customer 329,West,10,31/02/2024
330,Customer 330,unknown,N/A,2024-01-15
331,Customer 331,North,20,2024-01-15
332,Customer 332,east,"1,000",2024-01-15
333,Customer 333,east,"1,000",2024-01-15
334,Customer 334,West,-999999,2024-01-15
335,Customer 335,West,N/A,2024-01-15
336,Customer 336,North,N/A,31/02/2024
337,Customer 337,EAST,10,2024-01-15
338,  Customer 338  ,east,-999999,2024-01-15
339,Customer 339,West,N/A,2024-01-15
340,Customer 340,east,-999999,2024-01-15
341,Customer 341,EAST,"1,000",2024-01-15
342,Customer 342,unknown,10,2024-01-15
343,Customer 343,EAST,-999999,31/02/2024
344,Customer 344,West,20,2024-01-15
345,Customer 345,east,10,2024-01-15
346,Customer 346,unknown,"1,000",2024-01-15
347,Customer 347,South,"1,000",2024-01-15
348,Customer 348,West,-999999,2024-01-15
349,Customer 349,EAST,"1,000",2024-01-15
350,Customer 350,unknown,N/A,31/02/2024
351,  Customer 351  ,EAST,20,2024-01-15
352,Customer 352,unknown,"1,000",2024-01-15
353,Customer 353,South,"1,000",2024-01-15
354,Customer 354,West,N/A,2024-01-15
355,Customer 355,unknown,10,2024-01-15
356,Customer 356,West,-999999,2024-01-15
357,Customer 357,EAST,-999999,31/02/2024
358,Customer 358,West,N/A,2024-01-15
359,Customer 359,unknown,"1,000",2024-01-15
360,Customer 360,EAST,10,2024-01-15
361,Customer 361,unknown,20,2024-01-15
362,Customer 362,unknown,N/A,2024-01-15
363,Customer 363,EAST,10,2024-01-15
364,  Customer 364  ,unknown,20,31/02/2024
365,Customer 365,east,-999999,2024-01-15
366,Customer 366,North,20,2024-01-15
367,Customer 367,North,"1,000",2024-01-15
368,Customer 368,east,N/A,2024-01-15
369,Customer 369,unknown,-999999,2024-01-15
370,Customer 370,east,"1,000",2024-01-15
371,Customer 371,EAST,20,31/02/2024
372,Customer 372,EAST,N/A,2024-01-15
373,Customer 373,EAST,20,2024-01-15
374,Customer 374,North,"1,000",2024-01-15
375,Customer 375,West,N/A,2024-01-15
376,Customer 376,unknown,10,2024-01-15
377,  Customer 377  ,EAST,"1,000",2024-01-15
378,Customer 378,east,10,31/02/2024
379,Customer 379,unknown,10,2024-01-15
380,Customer 380,North,-999999,2024-01-15
381,Customer 381,West,20,2024-01-15
382,Customer 382,unknown,20,2024-01-15
383,Customer 383,EAST,10,2024-01-15
384,Customer 384,West,N/A,2024-01-15
385,Customer 385,South,N/A,31/02/2024
386,Customer 386,South,"1,000",2024-01-15
387,Customer 387,east,20,2024-01-15
388,Customer 388,North,N/A,2024-01-15
389,Customer 389,unknown,10,2024-01-15
390,  Customer 390  ,unknown,"1,000",2024-01-15
391,Customer 391,EAST,N/A,2024-01-15
392,Customer 392,West,"1,000",31/02/2024
393,Customer 393,South,10,2024-01-15
394,Customer 394,unknown,N/A,2024-01-15
395,Customer 395,east,"1,000",2024-01-15
396,Customer 396,West,N/A,2024-01-15
397,Customer 397,EAST,20,2024-01-15
398,Customer 398,EAST,"1,000",2024-01-15
399,Customer 399,EAST,20,31/02/2024
400,Customer 400,West,N/A,2024-01-15
401,Customer 401,unknown,N/A,2024-01-15
402,Customer 402,east,20,2024-01-15
403,  Customer 403  ,unknown,"1,000",2024-01-15
404,Customer 404,unknown,20,2024-01-15
405,Customer 405,West,10,2024-01-15
406,Customer 406,east,-999999,31/02/2024
407,Customer 407,South,-999999,2024-01-15
408,Customer 408,South,N/A,2024-01-15
409,Customer 409,unknown,10,2024-01-15
410,Customer 410,West,20,2024-01-15
411,Customer 411,West,-999999,2024-01-15
412,Customer 412,West,20,2024-01-15
413,Customer 413,EAST,N/A,31/02/2024
414,Customer 414,South,"1,000",2024-01-15
415,Customer 415,South,20,2024-01-15
416,  Customer 416  ,east,-999999,2024-01-15
417,Customer 417,EAST,N/A,2024-01-15
418,Customer 418,North,20,2024-01-15
419,Customer 419,unknown,20,2024-01-15
420,Customer 420,North,N/A,31/02/2024
421,Customer 421,South,10,2024-01-15
422,Customer 422,east,-999999,2024-01-15
423,Customer 423,North,-999999,2024-01-15
424,Customer 424,North,20,2024-01-15
425,Customer 425,West,10,2024-01-15
426,Customer 426,South,10,2024-01-15
427,Customer 427,EAST,10,31/02/2024
428,Customer 428,unknown,"1,000",2024-01-15
429,  Customer 429  ,EAST,"1,000",2024-01-15
430,Customer 430,unknown,N/A,2024-01-15
431,Customer 431,North,N/A,2024-01-15
432,Customer 432,unknown,"1,000",2024-01-15
433,Customer 433,North,20,2024-01-15
434,Customer 434,EAST,20,31/02/2024
435,Customer 435,EAST,20,2024-01-15
436,Customer 436,EAST,-999999,2024-01-15
437,Customer 437,South,20,2024-01-15
438,Customer 438,east,20,2024-01-15
439,Customer 439,West,-999999,2024-01-15
440,Customer 440,EAST,"1,000",2024-01-15
441,Customer 441,EAST,20,31/02/2024
442,  Customer 442  ,east,N/A,2024-01-15
443,Customer 443,West,-999999,2024-01-15
444,Customer 444,South,10,2024-01-15
445,Customer 445,North,10,2024-01-15
446,Customer 446,North,10,2024-01-15
447,Customer 447,east,-999999,2024-01-15
448,Customer 448,West,-999999,31/02/2024
449,Customer 449,South,N/A,2024-01-15
450,Customer 450,South,-999999,2024-01-15
451,Customer 451,North,20,2024-01-15
452,Customer 452,EAST,10,2024-01-15
453,Customer 453,unknown,20,2024-01-15
454,Customer 454,North,"1,000",2024-01-15
455,  Customer 455  ,EAST,"1,000",31/02/2024
456,Customer 456,South,N/A,2024-01-15
457,Customer 457,EAST,10,2024-01-15
458,Customer 458,North,N/A,2024-01-15
459,Customer 459,West,10,2024-01-15
460,Customer 460,West,10,2024-01-15
461,Customer 461,North,20,2024-01-15
462,Customer 462,North,N/A,31/02/2024
463,Customer 463,North,-999999,2024-01-15
464,Customer 464,North,20,2024-01-15
465,Customer 465,unknown,-999999,2024-01-15
466,Customer 466,unknown,20,2024-01-15
467,Customer 467,unknown,N/A,2024-01-15
468,  Customer 468  ,unknown,20,2024-01-15
469,Customer 469,EAST,-999999,31/02/2024
470,Customer 470,unknown,N/A,2024-01-15
471,Customer 471,east,N/A,2024-01-15
472,Customer 472,South,20,2024-01-15
473,Customer 473,West,10,2024-01-15
474,Customer 474,South,"1,000",2024-01-15
475,Customer 475,EAST,N/A,2024-01-15
476,Customer 476,unknown,"1,000",31/02/2024
477,Customer 477,unknown,"1,000",2024-01-15
478,Customer 478,North,"1,000",2024-01-15
479,Customer 479,West,N/A,2024-01-15
480,Customer 480,West,-999999,2024-01-15
481,  Customer 481  ,unknown,20,2024-01-15
482,Customer 482,EAST,"1,000",2024-01-15
483,Customer 483,unknown,10,31/02/2024
484,Customer 484,unknown,N/A,2024-01-15
485,Customer 485,unknown,"1,000",2024-01-15
486,Customer 486,east,10,2024-01-15
487,Customer 487,North,20,2024-01-15
488,Customer 488,North,20,2024-01-15
489,Customer 489,EAST,20,2024-01-15
490,Customer 490,North,10,31/02/2024
491,Customer 491,West,10,2024-01-15
492,Customer 492,West,-999999,2024-01-15
493,Customer 493,North,N/A,2024-01-15
494,  Customer 494  ,North,N/A,2024-01-15
495,Customer 495,West,20,2024-01-15
496,Customer 496,EAST,10,2024-01-15
497,Customer 497,EAST,20,31/02/2024
498,Customer 498,North,-999999,2024-01-15
499,Customer 499,east,"1,000",2024-01-15
499,Customer 500,east,10,2024-01-15
501,Customer 501,North,N/A,2024-01-15
502,Customer 502,North,N/A,2024-01-15
503,Customer 503,North,-999999,2024-01-15
504,Customer 504,east,N/A,31/02/2024
505,Customer 505,east,20,2024-01-15
506,Customer 506,North,-999999,2024-01-15
507,  Customer 507  ,North,N/A,2024-01-15
508,Customer 508,South,-999999,2024-01-15
509,Customer 509,West,"1,000",2024-01-15
510,Customer 510,east,20,2024-01-15
511,Customer 511,West,N/A,31/02/2024
512,Customer 512,West,-999999,2024-01-15
513,Customer 513,North,-999999,2024-01-15
514,Customer 514,unknown,20,2024-01-15
515,Customer 515,West,-999999,2024-01-15
516,Customer 516,unknown,"1,000",2024-01-15
517,Customer 517,unknown,"1,000",2024-01-15
518,Customer 518,West,"1,000",31/02/2024
519,Customer 519,east,10,2024-01-15
520,  Customer 520  ,South,20,2024-01-15
521,Customer 521,EAST,N/A,2024-01-15
522,Customer 522,east,"1,000",2024-01-15
523,Customer 523,EAST,10,2024-01-15
524,Customer 524,South,N/A,2024-01-15
525,Customer 525,North,"1,000",31/02/2024
526,Customer 526,east,10,2024-01-15
527,Customer 527,east,"1,000",2024-01-15
528,Customer 528,east,-999999,2024-01-15
529,Customer 529,east,N/A,2024-01-15
530,Customer 530,east,N/A,2024-01-15
531,Customer 531,West,"1,000",2024-01-15
532,Customer 532,West,10,31/02/2024
533,  Customer 533  ,South,10,2024-01-15
534,Customer 534,unknown,N/A,2024-01-15
535,Customer 535,east,N/A,2024-01-15
536,Customer 536,North,"1,000",2024-01-15
537,Customer 537,east,-999999,2024-01-15
538,Customer 538,EAST,-999999,2024-01-15
539,Customer 539,unknown,N/A,31/02/2024
540,Customer 540,North,-999999,2024-01-15
541,Customer 541,North,"1,000",2024-01-15
542,Customer 542,North,20,2024-01-15
543,Customer 543,EAST,"1,000",2024-01-15
544,Customer 544,east,"1,000",2024-01-15
545,Customer 545,unknown,20,2024-01-15
546,  Customer 546  ,unknown,"1,000",31/02/2024
547,Customer 547,east,N/A,2024-01-15
548,Customer 548,EAST,N/A,2024-01-15
549,Customer 549,EAST,N/A,2024-01-15
550,Customer 550,east,"1,000",2024-01-15
551,Customer 551,West,"1,000",2024-01-15
552,Customer 552,North,20,2024-01-15
553,Customer 553,east,20,31/02/2024
554,Customer 554,West,20,2024-01-15
555,Customer 555,North,20,2024-01-15
556,Customer 556,EAST,20,2024-01-15
557,Customer 557,North,"1,000",2024-01-15
558,Customer 558,West,10,2024-01-15
559,  Customer 559  ,unknown,N/A,2024-01-15
560,Customer 560,South,10,31/02/2024
561,Customer 561,North,N/A,2024-01-15
562,Customer 562,West,"1,000",2024-01-15
563,Customer 563,North,10,2024-01-15
564,Customer 564,unknown,20,2024-01-15
565,Customer 565,West,20,2024-01-15
566,Customer 566,North,-999999,2024-01-15
567,Customer 567,east,"1,000",31/02/2024
568,Customer 568,unknown,-999999,2024-01-15
569,Customer 569,South,N/A,2024-01-15
570,Customer 570,West,20,2024-01-15
571,Customer 571,South,-999999,2024-01-15
572,  Customer 572  ,EAST,-999999,2024-01-15
573,Customer 573,West,N/A,2024-01-15
574,Customer 574,EAST,20,31/02/2024
575,Customer 575,east,10,2024-01-15
576,Customer 576,South,-999999,2024-01-15
577,Customer 577,unknown,10,2024-01-15
578,Customer 578,EAST,"1,000",2024-01-15
579,Customer 579,EAST,"1,000",2024-01-15
580,Customer 580,EAST,10,2024-01-15
581,Customer 581,West,"1,000",31/02/2024
582,Customer 582,West,"1,000",2024-01-15
583,Customer 583,North,-999999,2024-01-15
584,Customer 584,EAST,N/A,2024-01-15
585,  Customer 585  ,South,10,2024-01-15
586,Customer 586,unknown,N/A,2024-01-15
587,Customer 587,West,10,2024-01-15
588,Customer 588,east,10,31/02/2024
589,Customer 589,unknown,"1,000",2024-01-15
590,Customer 590,West,N/A,2024-01-15
591,Customer 591,West,"1,000",2024-01-15
592,Customer 592,West,N/A,2024-01-15
593,Customer 593,West,-999999,2024-01-15
594,Customer 594,EAST,"1,000",2024-01-15
595,Customer 595,unknown,"1,000",31/02/2024
596,Customer 596,east,"1,000",2024-01-15
597,Customer 597,east,-999999,2024-01-15
598,  Customer 598  ,West,20,2024-01-15
599,Customer 599,West,-999999,2024-01-15
600,Customer 600,West,20,2024-01-15
601,Customer 601,east,20,2024-01-15
602,Customer 602,EAST,10,31/02/2024
603,Customer 603,North,"1,000",2024-01-15
604,Customer 604,EAST,N/A,2024-01-15
605,Customer 605,east,-999999,2024-01-15
606,Customer 606,North,10,2024-01-15
607,Customer 607,North,10,2024-01-15
608,Customer 608,east,-999999,2024-01-15
609,Customer 609,east,-999999,31/02/2024
610,Customer 610,unknown,N/A,2024-01-15
611,  Customer 611  ,east,-999999,2024-01-15
612,Customer 612,EAST,-999999,2024-01-15
613,Customer 613,EAST,10,2024-01-15
614,Customer 614,South,N/A,2024-01-15
615,Customer 615,South,-999999,2024-01-15
616,Customer 616,South,10,31/02/2024
617,Customer 617,east,N/A,2024-01-15
618,Customer 618,West,20,2024-01-15
619,Customer 619,EAST,N/A,2024-01-15
620,Customer 620,West,N/A,2024-01-15
621,Customer 621,unknown,N/A,2024-01-15
622,Customer 622,unknown,-999999,2024-01-15
623,Customer 623,EAST,N/A,31/02/2024
624,  Customer 624  ,EAST,N/A,2024-01-15
625,Customer 625,unknown,20,2024-01-15
626,Customer 626,EAST,-999999,2024-01-15
627,Customer 627,North,-999999,2024-01-15
628,Customer 628,South,10,2024-01-15
629,Customer 629,South,20,2024-01-15
630,Customer 630,unknown,20,31/02/2024
631,Customer 631,North,10,2024-01-15
632,Customer 632,South,N/A,2024-01-15
633,Customer 633,North,-999999,2024-01-15
634,Customer 634,unknown,-999999,2024-01-15
635,Customer 635,North,20,2024-01-15
636,Customer 636,EAST,10,2024-01-15
637,  Customer 637  ,North,"1,000",31/02/2024
638,Customer 638,South,"1,000",2024-01-15
639,Customer 639,EAST,"1,000",2024-01-15
640,Customer 640,North,N/A,2024-01-15
641,Customer 641,unknown,10,2024-01-15
642,Customer 642,unknown,"1,000",2024-01-15
643,Customer 643,unknown,-999999,2024-01-15
644,Customer 644,east,10,31/02/2024
645,Customer 645,South,N/A,2024-01-15
646,Customer 646,unknown,-999999,2024-01-15
647,Customer 647,South,10,2024-01-15
648,Customer 648,EAST,10,2024-01-15
649,Customer 649,unknown,10,2024-01-15
650,  Customer 650  ,east,-999999,2024-01-15
651,Customer 651,EAST,"1,000",31/02/2024
652,Customer 652,North,-999999,2024-01-15
653,Customer 653,EAST,"1,000",2024-01-15
654,Customer 654,South,10,2024-01-15
655,Customer 655,West,-999999,2024-01-15
